days_since_cleaning,added_fuel_cost_usd_per_day,added_power_kw,added_power_pct
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,2.8002692106583504,0.7338689200475699,0.021789457246067987
8,6.443318471321109,1.6862368325121793,0.05006641426698869
9,13.151103402391717,2.6386047449767602,0.07834337128790855
10,13.74153026456401,3.590972657441341,0.10662032830882844
11,18.610626827170314,4.543340569905922,0.13489728532974826
12,22.242117882643708,5.4957084823705316,0.163174242350669
13,26.318884358970656,6.4480763948351125,0.19145119937158886
14,30.48380312891397,7.4004443072996935,0.21972815639250873
15,36.29960960782964,8.328612658962754,0.247286599137849
16,38.78746490808861,8.901689496007492,0.26430194465580437
17,42.061909345221245,9.474766333052202,0.28131729017375895
18,43.98682210380622,10.04784317009694,0.29833263569171437
19,45.38197265285923,10.620920007141677,0.3153479812096697
20,47.68881936793675,11.193996844186401,0.33236332672762475
21,50.338324614328634,11.674244008439459,0.34662244680639726
22,48.489016584641334,11.321435277899653,0.3361471282036714
23,47.423243508303514,10.968626547359861,0.325671809600946
24,46.051273380313596,10.615817816820055,0.31519649099822017
25,44.96208035339518,10.263009086280277,0.3047211723954952
26,37.044814381210266,8.452761848161032,0.2509727389596506
27,27.832424358006396,6.2412470833784255,0.18531018656111714
28,17.98382729041237,4.029732318595848,0.11964763416258453
29,8.815137152453273,1.8182175538132412,0.05398508176405111
30,-1.8594636967630072,-0.3932972109693367,-0.011677470634481494
31,-11.881113135434047,-2.604811975751943,-0.07734002303301493
32,-26.05622492881433,-5.433342282572511,-0.16132251432816244
33,-43.95678857509072,-8.750991352409187,-0.2598275342164248
34,-59.922043065390945,-12.068640422245835,-0.35833255410468634
35,-77.0644728139371,-15.386289492082483,-0.45683757399294783
36,-93.63998029349375,-18.70393856191916,-0.5553425938812102
37,-101.57048636064088,-22.021587631755807,-0.6538476137694718
38,-111.82138206979583,-25.339236701592483,-0.7523526336577341
39,-122.65128036764168,-28.65688577142913,-0.8508576535459956
40,-139.2330032505968,-31.97453484126578,-0.9493626734342571
41,-144.48127509629253,-33.91275961929506,-1.0069109150622049
42,-153.33377428541922,-35.78630037927883,-1.0625386098360696
43,-162.8976939251356,-37.659841139262596,-1.1181663046099346
44,-161.8838749153608,-39.533381899246365,-1.1737939993837994
45,-168.71849813091652,-41.40692265923013,-1.2294216941576643
46,-172.24652419637857,-43.2804634192139,-1.285049388931529
47,-176.2065279314606,-44.12107804764855,-1.310008255571513
48,-167.96629169885065,-42.767249934443754,-1.2698114588611567
49,-165.53776615865604,-41.413421821238956,-1.2296146621508004
50,-159.40091442831022,-40.05959370803416,-1.1894178654404441
51,-152.92274948593672,-38.70576559482933,-1.149221068730087
52,-143.91773922120686,-36.457966189901526,-1.0824811814103779
53,-135.74718330869254,-34.15347350726543,-1.014058001997192
54,-128.95102251468856,-31.848980824629336,-0.9456348225840063
55,-116.54220491589902,-29.54448814199324,-0.8772116431708208
56,-100.62716876303584,-27.239995459357147,-0.8087884637576349
57,-107.21793939868815,-24.93550277672105,-0.7403652843444493
58,-97.41655909339174,-22.631010094084957,-0.6719421049312635
59,-88.41687482314777,-20.32651741144886,-0.6035189255180778
60,-78.88802820341226,-18.022024728812767,-0.5350957461048921
61,-69.98540541795171,-16.140735412751695,-0.47923798731448025
62,-70.64665200912131,-16.47011781544481,-0.4890177498647509
63,-71.91670014101449,-16.799500218137922,-0.49879751241502146
64,-73.93464455674678,-17.128882620831035,-0.508577274965292
65,-78.19846646416418,-17.45826502352415,-0.5183570375155626
66,-91.20722726402614,-17.787647426217262,-0.5281368000658332
67,-104.64312715510283,-18.117029828910375,-0.5379165626161038
68,-118.50616613739426,-18.44641223160349,-0.5476963251663745
69,-132.79634421090037,-18.775794634296602,-0.5574760877166449
70,-138.12859474828613,-19.105177036989716,-0.5672558502669156
71,-143.7589234767993,-19.43455943968283,-0.5770356128171861
72,-148.74161594653143,-19.763941842375942,-0.5868153753674568
73,-150.9473482977212,-20.093324245069056,-0.5965951379177272
74,-151.7906522511258,-20.669731778866748,-0.6137093758570887
75,-166.14072118465248,-21.950544977388915,-0.6517382713001459
76,-176.31740403519956,-23.231358175911083,-0.6897671667432032
77,-195.15937634529,-24.51217137443325,-0.7277960621862604
78,-207.63657139018665,-25.79298457295542,-0.7658249576293177
79,-191.82710897822844,-27.073797771477587,-0.8038538530723749
80,-191.66269642659412,-28.354610969999754,-0.8418827485154321
81,-197.88154933230157,-29.635424168521922,-0.8799116439584894
82,-171.40067132023609,-25.074380385628615,-0.7444887287894482
83,-121.6944284599584,-18.236217540489633,-0.5414553901570556
84,-74.81640312281645,-11.398054695350623,-0.3384220515246622
85,-26.725608184016224,-4.559891850211642,-0.13538871289226964
86,14.3127327042446,2.2782709949273396,0.06764462574012292
87,66.6369457567424,9.825816148855608,0.2917403844672093
88,109.2212799833125,17.45607787906316,0.518292098547006
89,166.9849016360104,25.08633960927071,0.7448438126268025
90,200.77510393845532,32.716601339478274,0.9713955267065996
91,229.89208602903503,40.34686306968584,1.1979472407863967
92,231.98094948064454,49.225071960555994,1.461552017831235
93,285.2286716200759,58.59665531029282,1.7398056802343471
94,328.76902385270085,67.96823866002964,2.0180593426374593
95,384.2998943055063,77.33982200976646,2.296313005040572
96,410.5123210570087,86.71140535950329,2.5745666674436842
97,453.7340975525813,96.08298870924013,2.852820329846797
98,541.7750911155989,104.93114702022416,3.1155328687715014
99,602.0447541058395,113.42117240995623,3.3676120074215032
100,644.8485997460784,121.91119779968832,3.619691146071506
101,672.7624188707263,130.4012231894204,3.8717702847215083
102,728.7975402534976,138.8912485791525,4.123849423371511
103,763.6271739733589,147.38127396888456,4.375928562021513
